name,university,city,location,labType,faculty,description,sampleServices,equipment,tags,contactEmail,acceptsExternalSamples
مركز تحليل المواد والنانو,جامعة القاهرة,القاهرة,كلية العلوم - مبنى المراكز البحثية,research_center,Science,تحليل تركيب ومعاينة مواد للبحث العلمي ورسائل الماجستير,"SEM;XRD;FTIR;TGA","SEM;XRD;FTIR;TGA","مواد;نانو;تحليل",materials.cu@example.edu.eg,true
معمل الكيمياء التحليلية,جامعة القاهرة,القاهرة,كلية العلوم - قسم الكيمياء,university_lab,Science,تحليل عينات كيميائية ومعايرة للطلاب والباحثين,"HPLC;UV-Vis;GC","HPLC;UV-Vis;GC","كيمياء;تحليل",analchem.cu@example.edu.eg,true
مركز البحوث الطبية التجريبية,جامعة عين شمس,القاهرة,كلية الطب - الحرم الجامعي,research_center,Medicine,تحليل عينات سريرية وبحوث ما قبل سريرية,"PCR;ELISA;HPLC","PCR;ELISA;HPLC","طب;تحليل;بيولوجيا",medresearch.asu@example.edu.eg,true
مركز التكنولوجيا الحيوية,جامعة عين شمس,القاهرة,كلية العلوم - مبنى البيولوجيا,research_center,Science,استخراج DNA وتطبيقات PCR للأبحاث الجينية,"PCR;جيل مطابق;تسلسل","PCR;Sequencer","بيوتكنولوجيا;جينات",biotech.asu@example.edu.eg,true
مركز البحوث البيئية والسواحل,جامعة الإسكندرية,الإسكندرية,كلية العلوم - الشاطئ,research_center,Science,تحليل مياه و تربة ورسوبيات بحرية,"ICP;TOC;حبيبات","ICP;TOC;Microscope","بيئة;بحار;تلوث",env.alexu@example.edu.eg,true
معمل الهندسة الطبية الحيوية,جامعة الإسكندرية,الإسكندرية,كلية الهندسة,research_center,Engineering,تصميم واختبار أجهزة طبية وتحليل إشارات حيوية,"MATLAB;أجهزة قياس;ECG","Oscilloscope;DAQ","هندسة طبية;إشارات",bme.alexu@example.edu.eg,true
مركز تحليل الأدوية,جامعة المنصورة,المنصورة,كلية الصيدلة,core_facility,Pharmacy,تحليل صيدلاني وضمان جودة للعقاقير والمستحضرات,"HPLC;Dissolution;FTIR","HPLC;Dissolution","صيدلة;أدوية;جودة",pharma.mans.edu.eg@example.edu.eg,true
معمل البحوث الزراعية التطبيقية,جامعة المنصورة,المنصورة,كلية الزراعة,research_center,Agriculture,تحليل تربة ومياه ومحاصيل للبحوث الزراعية,"تربة;مياه;NPK","Spectrophotometer;pH meter","زراعة;تربة;محاصيل",agri.mans@example.edu.eg,true
مركز الفيزياء والمواد المتقدمة,جامعة أسيوط,أسيوط,كلية العلوم,research_center,Science,معاينة إلكترونية ودراسة بنية بلورية,"SEM;XRD;AFM","SEM;XRD;AFM","فيزياء;مواد",physics.assuit.edu.eg@example.edu.eg,true
معمل الحاسب عالي الأداء,جامعة أسيوط,أسيوط,كلية الحاسبات والمعلومات,core_facility,CS,دعم محاكاة وتحليل بيانات للأبحاث الهندسية والطبية,"محاكاة;تعلم آلة;معالجة صور","GPU cluster;Workstations","حاسب;AI;محاكاة",hpc.assuit.edu.eg@example.edu.eg,true
مركز التحليل المركزي,جامعة الزقازيق,الزقازيق,مدينة الزقازيق الجامعية,research_center,Science,خدمات تحليل مشتركة لكليات الجامعة,"SEM;XRD;HPLC;ICP","SEM;XRD;HPLC;ICP","تحليل مركزي;خدمات",core.zu.edu.eg@example.edu.eg,true
معمل البيولوجيا الجزيئية,جامعة طنطا,طنطا,كلية الطب,research_center,Medicine,دراسات جزيئية للأورام والأمراض الوراثية,"PCR;Western blot;qRT-PCR","PCR;Blot imager","بيولوجيا جزيئية;طب",molbio.tanta.edu.eg@example.edu.eg,true
مركز هندسة البترول والتحليل,جامعة سوهاج,سوهاج,كلية الهندسة,research_center,Engineering,تحليل عينات بترولية وخصائص ركام,"GC;فيزياء حفرية;لزوجة","GC;Rheometer","بترول;هندسة",peteng.sohag.edu.eg@example.edu.eg,true
معمل الكيمياء الحيوية,جامعة بني سويف,بني سويف,كلية العلوم,university_lab,Science,تحليل إنزيمات وبروتينات للبحوث الأساسية,"Spectrophotometer;Centrifuge;PCR","UV-Vis;Centrifuge;PCR","كيمياء حيوية;إنزيمات",biochem.bsu.edu.eg@example.edu.eg,true
مركز البحوث البيطرية,جامعة كفر الشيخ,كفر الشيخ,كلية الطب البيطري,research_center,Veterinary,تحليل عينات حيوانية ومزارع,"PCR;مزارع;مقاومة","PCR;Incubator","بيطري;صحة حيوانية",vet.kfs.edu.eg@example.edu.eg,true
معمل إلكترونيات وتصميم دوائر,جامعة حلوان,حلوان,كلية الهندسة - حلوان,university_lab,Engineering,قياس واختبار دوائر إلكترونية لرسائل الهندسة,"Oscilloscope;Logic analyzer;PCB","Oscilloscope;Multimeter","إلكترونيات;هندسة",elec.helwan.edu.eg@example.edu.eg,true
مركز تحليل المياه والصرف,جامعة قناة السويس,الإسماعيلية,كلية الهندسة,research_center,Engineering,تحليل جودة مياه وصرف صناعي,"BOD;COD;معادن ثقيلة","ICP;pH;DO meter","مياه;بيئة;صرف",water.suez.edu.eg@example.edu.eg,true
وحدة البحوث التطبيقية,جامعة المنيا,المنيا,كلية الهندسة,research_center,Engineering,دعم تجارب المواد والإنشاءات للدراسات التطبيقية,"ضغط;شد;خرسانة","UTM;Concrete mixer","إنشاءات;مواد;هندسة",applied.minia.edu.eg@example.edu.eg,true
